COLUMN_NAME,TYPE_NAME,IS_NULLABLE,DECIMAL_DIGITS,COLUMN_SIZE,COLUMN_DEF,REMARKS,DATA_TYPE,BUFFER_LENGTH,NUM_PREC_RADIX,NULLABLE,SQL_DATA_TYPE,SQL_DATETIME_SUB,CHAR_OCTET_LENGTH,ORDINAL_POSITION
IDTRAVELERPROFILE,INTEGER,NO,0,10,AUTOINCREMENT: start 1 increment 1,,4,,10,0,,,,1
ACCOUNTID,INTEGER,NO,0,10,,,4,,10,0,,,,2
STAFFID,VARCHAR,YES,,45,NULL,,12,,,1,,,90,3
GIVENNAME,VARCHAR,YES,,45,NULL,,12,,,1,,,90,4
FAMILYNAME,VARCHAR,YES,,45,NULL,,12,,,1,,,90,5
TITLE,VARCHAR,YES,,45,NULL,,12,,,1,,,90,6
DEPARTMENT,VARCHAR,YES,,45,NULL,,12,,,1,,,90,7
POSITION,VARCHAR,YES,,45,NULL,,12,,,1,,,90,8
IDNUMBER,VARCHAR,YES,,10,NULL,,12,,,1,,,20,9
ATTACHMENTID,VARCHAR,YES,,45,NULL,,12,,,1,,,90,10
DATECREATED,TIMESTAMP,YES,6,26,NULL,,93,,10,1,,,,11
DATEMODIFIED,TIMESTAMP,YES,6,26,NULL,,93,,10,1,,,,12
TRAVELBOOKER,VARCHAR,YES,,45,NULL,,12,,,1,,,90,13
BUSINESSADDRESS,VARCHAR,YES,,255,"'144 PETER ROAD, RUIMSIG, JOHANNESBURG, SOUTH AFRICA'",,12,,,1,,,510,14
BUSINESSPHONE,VARCHAR,YES,,12,NULL,,12,,,1,,,24,15
BUSINESSFAX,VARCHAR,YES,,12,NULL,,12,,,1,,,24,16
BUSINESSEMAIL,VARCHAR,YES,,45,NULL,,12,,,1,,,90,17
HOMEADDRESS,VARCHAR,YES,,255,NULL,,12,,,1,,,510,18
HOMEPHONE,VARCHAR,YES,,12,NULL,,12,,,1,,,24,19
HOMEEMAIL,VARCHAR,YES,,45,NULL,,12,,,1,,,90,20
MOBILEPHONE,VARCHAR,YES,,12,NULL,,12,,,1,,,24,21
SPOUSENAME,VARCHAR,YES,,45,NULL,,12,,,1,,,90,22
SPOUSECONTACTNUMBER,VARCHAR,YES,,45,NULL,,12,,,1,,,90,23
SPOUSEEMAIL,VARCHAR,YES,,45,NULL,,12,,,1,,,90,24
DOCTORSNAME,VARCHAR,YES,,45,NULL,,12,,,1,,,90,25
DOCTORSCONCTACTNUMBER,VARCHAR,YES,,45,NULL,,12,,,1,,,90,26
DOCTORSEMAIL,VARCHAR,YES,,45,NULL,,12,,,1,,,90,27
KNOWNMEDICALCONDITIONS,VARCHAR,YES,,512,NULL,,12,,,1,,,1024,28
HOTELPREFRENCES,VARCHAR,YES,,200,NULL,,12,,,1,,,400,29
FREQUENTGUEST,VARCHAR,YES,,45,NULL,,12,,,1,,,90,30
NONSMOKING,VARCHAR,YES,,45,NULL,,12,,,1,,,90,31
CARPREFERENCES,VARCHAR,YES,,200,NULL,,12,,,1,,,400,32
RENTALCOMPANY,VARCHAR,YES,,45,NULL,,12,,,1,,,90,33
MANUALAUTOMATIC,VARCHAR,YES,,45,NULL,,12,,,1,,,90,34
AIRCON,VARCHAR,YES,,45,NULL,,12,,,1,,,90,35
AIRLINEPREFERENCES,VARCHAR,YES,,45,NULL,,12,,,1,,,90,36
SEATING,VARCHAR,YES,,45,NULL,,12,,,1,,,90,37
CLASSDOMESTIC,VARCHAR,YES,,45,NULL,,12,,,1,,,90,38
CLASSINTERNATIONAL,VARCHAR,YES,,45,NULL,,12,,,1,,,90,39
MEALREQUIREMENTS,VARCHAR,YES,,45,NULL,,12,,,1,,,90,40
